text,label
"RT @FezTht70s: A penis lives a sad life: His hair is a mess, his family is nuts, neighbor is an asshole, best friend is a pussy and owne ...",red
Chillin wit my bitch who never hesitates tonight.,red
"RT @DFkinLopes: Bruh every time a famous celebrity tweet something, the 1st person to comment is some hoe talkin bout ""slap ya dick on me d&#8230;",red
Karma is a bitch. The tables will turn even if the person want it to or not. You can't stop it either,red
How are you holding up?,green
RT @Ilovebamf: I held you like a baby bird.. &#128546; and now you come at me like this.. These friends ain't loyal &#128546;&#128557; http://t.co/WinZvfxdL8,green
@zachsafteryou @FreedomFrayed Little sissy bitch,red
Niggas talk more then bitches these days,red
@KeiveeB yellow shirt hat turnt to da side,green
"If you kill all cops and cracker babies, what next?????? Black states, white states, and Latino states? Isn't that moving backwards?",red
RT @tommyjaster: Where da hoes at... C'Mon thru at Hatchy's in Utica TDT about to rock dis biiaaaatch. #TDTHoe #teamspade #highgang,red
RT @AnnTelnaes: Halloween candy corn bird http://t.co/kTNbyuTYKw,green
How come?,green
"Y'all be giving the pooest bitches so much hype, stop it.",red
"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT",red
Half of yall hoes anyways. So the ones with thigh gaps get a friend without em. Have a nigga fuck yall both and ask him who got better pussy,red
"RT @itsSamCollins: I hate seeing people with money spend it on stupid shit, you don't need 11 TVs &amp; a shark tank you twat",red
Team john in this bitch &#128588;&#128588;,red
"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",green
"Notice I don't make music for niggas that don't get pussy.-Drake
#LordKnows",red
I spent my whole 4th lookin for my hoes.. Missed the fireworks and all before I realized I didn't have any hoes.. #AllBad,red
RT @ThatGuyBryant28: Still the greatest tweet ever. RT @DJZeeti bitches run on emotion not logic .. a bitch will say 1+1=3 if the number ...,red
@BeattyJustin @KYOppCoalition Obama's bitch!,red
@RJ_diggins86 get some sleep pussy.,red
"""@TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags",red
See &#128064; ima stop &#10060;&#128282; getting on this here Twitter arguing with you hoes&#128078;&#128078;......stupidity is a trait that I &#9757;&#65039;DONT NOT FUCK WITH &#128680;&#128679;,red
RT @billmanoussakis: Sinclair hoes don't care how fat they are. They all still wear yoga pants and belly shirts....,red
